pattern,unit,book
Do you watch TV ads?,UNIT 1,Book 7
What do you think of ads?,UNIT 1,Book 7
Are TV ads relaxing or annoying?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Are cookery programs interesting or boring?,UNIT 1,Book 7
Do you watch cookery programs?,UNIT 1,Book 7
What do you think of cookery programs?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Do you use the TV or the phone to see the weather forecast?,UNIT 1,Book 7
Do you watch the weather forecast?,UNIT 1,Book 7
What do you think of weather forecasts?,UNIT 1,Book 7
Who watches the weather forecast at home?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Is news interesting or boring?,UNIT 1,Book 7
What do you think of news?,UNIT 1,Book 7
Who watches the news at home?,UNIT 1,Book 7
nan,UNIT 1,Book 7
nan,UNIT 1,Book 7
Do you watch travel programs?,UNIT 1,Book 7
What do you think of travel programs?,UNIT 1,Book 7
Who watches travel programs at home?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Do you watch soap operas?,UNIT 1,Book 7
What do you think of soap operas?,UNIT 1,Book 7
Who watches soap operas at home?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Do you watch talk shows?,UNIT 1,Book 7
What do you think of talk shows?,UNIT 1,Book 7
Who watches talk shows at home?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Are quiz shows interesting or boring?,UNIT 1,Book 7
Do you watch quiz shows?,UNIT 1,Book 7
What do you think of quiz shows?,UNIT 1,Book 7
Who watches quiz shows at home?,UNIT 1,Book 7
nan,UNIT 1,Book 7
nan,UNIT 1,Book 7
What is your favourite movie?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Do you go to the cinema with friends or family?,UNIT 1,Book 7
How often do you go to the cinema?,UNIT 1,Book 7
nan,UNIT 1,Book 7
What is a soundtrack in Polish?,UNIT 1,Book 7
nan,UNIT 1,Book 7
What is your favourite film genre?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Do you prefer dubbing or subtitles?,UNIT 1,Book 7
Do you watch films with dubbing or subtitles?,UNIT 1,Book 7
Do you watch films with dubbing or subtitles?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Are you a crazy movie fan?,UNIT 1,Book 7
Are you a football fan?,UNIT 1,Book 7
Are you a Harry Potter fan?,UNIT 1,Book 7
Are you a Marvel or DC fan?,UNIT 1,Book 7
Are you a movie fan?,UNIT 1,Book 7
What is it?,UNIT 1,Book 7
What is it?,UNIT 1,Book 7
"Where do you prefer to be, at the movies or at the theatre?",UNIT 1,Book 7
nan,UNIT 1,Book 7
Do you prefer to watch films at home or at the cinema?,UNIT 1,Book 7
Do you prefer to watch films at home or at the cinema?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Are special effects important for a film?,UNIT 1,Book 7
Are these good or bad special effects?,UNIT 1,Book 7
Do you like special effects?,UNIT 1,Book 7
Do you prefer films with or without special effects?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Who is your favourite actor or actress?,UNIT 1,Book 7
nan,UNIT 1,Book 7
What do you eat when you watch films at home?,UNIT 1,Book 7
What do you eat when you watch films at the cinema?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Do you like watching ads?,UNIT 1,Book 7
nan,UNIT 1,Book 7
nan,UNIT 1,Book 7
Who is he?,UNIT 1,Book 7
Who is she?,UNIT 1,Book 7
Do you know this American actor?,UNIT 1,Book 7
Do you know this Polish actor?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Do you know any famous actors?,UNIT 1,Book 7
Would you like to be an actor?,UNIT 1,Book 7
What do actors and actresses do?,UNIT 1,Book 7
Who is he?,UNIT 1,Book 7
What does a film director do?,UNIT 1,Book 7
Would you like to be a director?,UNIT 1,Book 7
Is being a film director an interesting or boring job?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Who is he?,UNIT 1,Book 7
What does a camera operator do?,UNIT 1,Book 7
Would you like to be a camera operator?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Is being a camera operator an easy or difficult job?,UNIT 1,Book 7
Is being a camera operator an interesting or boring job?,UNIT 1,Book 7
Who is he?,UNIT 1,Book 7
What do soundmen do?,UNIT 1,Book 7
Would you like to be a soundman?,UNIT 1,Book 7
Is being a soundman an interesting or boring job?,UNIT 1,Book 7
nan,UNIT 1,Book 7
What is it?,UNIT 1,Book 7
Who is he?,UNIT 1,Book 7
Who is she?,UNIT 1,Book 7
What do screenwriters do?,UNIT 1,Book 7
Would you like to be a screenwriter?,UNIT 1,Book 7
Is being a screenwriter an interesting or boring job?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Who is he?,UNIT 1,Book 7
What do sound engineers do?,UNIT 1,Book 7
Would you like to be a sound engineer?,UNIT 1,Book 7
Is being a sound engineer an easy or difficult job?,UNIT 1,Book 7
Is being a sound engineer an interesting or boring job?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Who is he?,UNIT 1,Book 7
Who is he?,UNIT 1,Book 7
Would you like to be a light operator?,UNIT 1,Book 7
What do light operators do?,UNIT 1,Book 7
Is being a light operator an interesting or boring job?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Who is she?,UNIT 1,Book 7
What do costume designers do?,UNIT 1,Book 7
Would you like to be a costume designer?,UNIT 1,Book 7
Is being a costume designer an interesting or boring job?,UNIT 1,Book 7
Must a costume designer be creative?,UNIT 1,Book 7
What film costume do you like?,UNIT 1,Book 7
Who is he?,UNIT 1,Book 7
What do stuntmen do?,UNIT 1,Book 7
Would you like to be a stuntman?,UNIT 1,Book 7
Would you like to be a stuntman?,UNIT 1,Book 7
Is being a stuntman an easy or difficult job?,UNIT 1,Book 7
Is being a stuntman an interesting or boring job?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Who is she?,UNIT 1,Book 7
Who is she?,UNIT 1,Book 7
What do makeup artists do?,UNIT 1,Book 7
What do makeup artists do?,UNIT 1,Book 7
Would you like to be a makeup artist?,UNIT 1,Book 7
Is being a makeup artist an easy or difficult job?,UNIT 1,Book 7
What makeup look do you like?,UNIT 1,Book 7
nan,UNIT 1,Book 7
Who is she?,UNIT 1,Book 7
What do hair stylists do?,UNIT 1,Book 7
Would you like to be a hairstylist?,UNIT 1,Book 7
Is being a hair stylist an interesting or boring job?,UNIT 1,Book 7
nan,UNIT 1,Book 7
What do prop masters do?,UNIT 1,Book 7
Would you like to be a prop master?,UNIT 1,Book 7
Would you like to be a prop master?,UNIT 1,Book 7
Is being a prop master an interesting or boring job?,UNIT 1,Book 7
Is being a prop master an interesting or boring job?,UNIT 1,Book 7
Is being a prop master an interesting or boring job?,UNIT 1,Book 7
Which film is the prop from?,UNIT 1,Book 7
nan,UNIT 1,Book 7
nan,UNIT 1,Book 7
nan,UNIT 1,Book 7
nan,UNIT 1,Book 7
nan,UNIT 1,Book 7
nan,UNIT 1,Book 7
nan,UNIT 1,Book 7
nan,UNIT 2,Book 7
What does the man have on his face?,UNIT 2,Book 7
Do you have piercings on your body?,UNIT 2,Book 7
Do you want to have piercings on your body?,UNIT 2,Book 7
Are piercings trendy?,UNIT 2,Book 7
Does he have few or many piercings?,UNIT 2,Book 7
What is your opinion on extreme piercing?,UNIT 2,Book 7
Where is his piercing?,UNIT 2,Book 7
Where is his piercing?,UNIT 2,Book 7
Where is his piercing?,UNIT 2,Book 7
nan,UNIT 2,Book 7
Where is the piercing?,UNIT 2,Book 7
What is your opinion on belly button piercings?,UNIT 2,Book 7
nan,UNIT 2,Book 7
Do you want to have ear piercings?,UNIT 2,Book 7
What is she piercing?,UNIT 2,Book 7
Where are the piercings?,UNIT 2,Book 7
How many piercings can you see?,UNIT 2,Book 7
Who in your family has ear piercings?,UNIT 2,Book 7
nan,UNIT 2,Book 7
Where is the piercing?,UNIT 2,Book 7
What is your opinion on eyebrow piercings?,UNIT 2,Book 7
Do you want an eyebrow piercing?,UNIT 2,Book 7
nan,UNIT 2,Book 7
Where is the piercing?,UNIT 2,Book 7
Do you want a lip piercing?,UNIT 2,Book 7
What is your opinion on lip piercings?,UNIT 2,Book 7
nan,UNIT 2,Book 7
Where is the piercing?,UNIT 2,Book 7
Do you want a nose piercing?,UNIT 2,Book 7
What is she doing?,UNIT 2,Book 7
Do you think this nose piercing is extreme?,UNIT 2,Book 7
nan,UNIT 2,Book 7
Where is the piercing?,UNIT 2,Book 7
Do you want to have a piercing on the tongue?,UNIT 2,Book 7
What is your opinion on tongue piercings?,UNIT 2,Book 7
nan,UNIT 2,Book 7
nan,UNIT 2,Book 7
What hairstyle does he have?,UNIT 2,Book 7
Do you want a mohawk?,UNIT 2,Book 7
Are mohawks trendy?,UNIT 2,Book 7
Do you have a friend with a mohawk?,UNIT 2,Book 7
Do you like this mohawk?,UNIT 2,Book 7
What is your opinion on mohawks?,UNIT 2,Book 7
nan,UNIT 2,Book 7
What hairstyle does she have?,UNIT 2,Book 7
Do you have a friend or family member who is bald?,UNIT 2,Book 7
Do you want to be bald?,UNIT 2,Book 7
Who in your family is bald?,UNIT 2,Book 7
What is your opinion on bald hairstyles?,UNIT 2,Book 7
nan,UNIT 2,Book 7
What hairstyle does she have?,UNIT 2,Book 7
Do you have a friend who has a fringe?,UNIT 2,Book 7
Do you want to have a fringe?,UNIT 2,Book 7
Are fringes trendy?,UNIT 2,Book 7
What is she cutting?,UNIT 2,Book 7
nan,UNIT 2,Book 7
What hairstyle does she have?,UNIT 2,Book 7
Do you want to have braids?,UNIT 2,Book 7
What is she doing?,UNIT 2,Book 7
Can you braid hair?,UNIT 2,Book 7
What is your opinion on braids?,UNIT 2,Book 7
What is your opinion on braids?,UNIT 2,Book 7
nan,UNIT 2,Book 7
What is she doing?,UNIT 2,Book 7
Do you want to dye your hair?,UNIT 2,Book 7
Is it trendy to dye your hair?,UNIT 2,Book 7
Do you like this colour hair dye?,UNIT 2,Book 7
What colour has she dyed her hair?,UNIT 2,Book 7
Can you dye your hair in school?,UNIT 2,Book 7
What colour has she dyed her hair?,UNIT 2,Book 7
What has the woman dyed?,UNIT 2,Book 7
What has the woman dyed?,UNIT 2,Book 7
Is dying your armpits trendy?,UNIT 2,Book 7
Is it trendy to dye beards?,UNIT 2,Book 7
Is it trendy to dye your armpits?,UNIT 2,Book 7
Is it trendy to dye your armpits?,UNIT 2,Book 7
What has the man dyed?,UNIT 2,Book 7
nan,UNIT 2,Book 7
What hairstyle does she have?,UNIT 2,Book 7
Do you want pigtails?,UNIT 2,Book 7
Are pig tails trendy?,UNIT 2,Book 7
Do your friends have pig tails?,UNIT 2,Book 7
What is your opinion on pig tails?,UNIT 2,Book 7
nan,UNIT 2,Book 7
What hairstyle does she have?,UNIT 2,Book 7
Do you want a ponytail?,UNIT 2,Book 7
What is he making?,UNIT 2,Book 7
Are ponytails trendy?,UNIT 2,Book 7
What is your opinion on ponytails?,UNIT 2,Book 7
nan,UNIT 2,Book 7
What hairstyle does she have?,UNIT 2,Book 7
nan,UNIT 2,Book 7
Do you like hair buns?,UNIT 2,Book 7
Do you want a hair bun?,UNIT 2,Book 7
Do your friends have hair buns?,UNIT 2,Book 7
What is your opinion on hair buns?,UNIT 2,Book 7
Are hair buns trendy?,UNIT 2,Book 7
nan,UNIT 2,Book 7
What hairstyle does he have?,UNIT 2,Book 7
Do you want cornrows?,UNIT 2,Book 7
Do you want cornrows?,UNIT 2,Book 7
What is your opinion on cornrows?,UNIT 2,Book 7
nan,UNIT 2,Book 7
What hairstyle does she have?,UNIT 2,Book 7
Do you like afros?,UNIT 2,Book 7
Do you want an afro?,UNIT 2,Book 7
Are afros trendy?,UNIT 2,Book 7
What is your opinion on afros?,UNIT 2,Book 7
nan,UNIT 2,Book 7
What hairstyle does she have?,UNIT 2,Book 7
Do you want a Viking hairstyle?,UNIT 2,Book 7
Are Viking hairstyles trendy?,UNIT 2,Book 7
What is your opinion on Viking hairstyles?,UNIT 2,Book 7
nan,UNIT 2,Book 7
What has he got on his head?,UNIT 2,Book 7
Do you like dreadlocks?,UNIT 2,Book 7
Do you want dreadlocks?,UNIT 2,Book 7
Are dreadlocks trendy?,UNIT 2,Book 7
What is your opinion on dreadlocks?,UNIT 2,Book 7
nan,UNIT 2,Book 7
What has she got on her hands?,UNIT 2,Book 7
Do you like henna tattoos?,UNIT 2,Book 7
Do you want a henna tattoo?,UNIT 2,Book 7
Do you want henna on your hands?,UNIT 2,Book 7
Are henna tattoos trendy?,UNIT 2,Book 7
What is your opinion on henna tattoos?,UNIT 2,Book 7
nan,UNIT 2,Book 7
What are they?,UNIT 2,Book 7
Do you like tattoos?,UNIT 2,Book 7
Do you want tattoos?,UNIT 2,Book 7
Do you have a friend who has tattoos?,UNIT 2,Book 7
Where is the tattoo?,UNIT 2,Book 7
Where is the tattoo?,UNIT 2,Book 7
Where is the tattoo?,UNIT 2,Book 7
What is your opinion on extreme tattoos?,UNIT 2,Book 7
What is your opinion on extreme tattoos?,UNIT 2,Book 7
What is your opinion on tattoos?,UNIT 2,Book 7
nan,UNIT 2,Book 7
What is she doing?,UNIT 2,Book 7
Do you like painted nails?,UNIT 2,Book 7
Do you want to do your nails?,UNIT 2,Book 7
Are painted nails trendy?,UNIT 2,Book 7
What is your opinion on painted nails?,UNIT 2,Book 7
Who paints their nails in your family?,UNIT 2,Book 7
What is on her nails?,UNIT 2,Book 7
What is on her nails?,UNIT 2,Book 7
nan,UNIT 2,Book 7
Do you want long nails?,UNIT 2,Book 7
What is she doing?,UNIT 2,Book 7
Do you want to modify your body?,UNIT 2,Book 7
What is your opinion on plastic surgery?,UNIT 2,Book 7
What is your opinion on plastic surgery?,UNIT 2,Book 7
nan,UNIT 2,Book 7
What are they doing?,UNIT 2,Book 7
Do you like bodybuilding?,UNIT 2,Book 7
Do you want to bodybuild?,UNIT 2,Book 7
nan,UNIT 2,Book 7
Is bodybuilding trendy?,UNIT 2,Book 7
What is your opinion on bodybuilding?,UNIT 2,Book 7
What is your opinion on bodybuilding?,UNIT 2,Book 7
nan,UNIT 2,Book 7
What fashion is it?,UNIT 2,Book 7
Do you like punk rock fashion?,UNIT 2,Book 7
Is punk rock trendy?,UNIT 2,Book 7
What is your opinion on punk fashion?,UNIT 2,Book 7
nan,UNIT 2,Book 7
Do you like hipster fashion?,UNIT 2,Book 7
Do you wear hipster fashion?,UNIT 2,Book 7
Is hipster fashion trendy?,UNIT 2,Book 7
What is your opinion on hipster fashion?,UNIT 2,Book 7
nan,UNIT 2,Book 7
What fashion is it?,UNIT 2,Book 7
Do you like hip hop fashion?,UNIT 2,Book 7
Do you wear hip hop fashion?,UNIT 2,Book 7
Is hip hop fashion trendy?,UNIT 2,Book 7
Do kids in school wear hip hop fashion?,UNIT 2,Book 7
What is your opinion on hip hop fashion?,UNIT 2,Book 7
nan,UNIT 2,Book 7
What fashion is it?,UNIT 2,Book 7
Do you like goth fashion?,UNIT 2,Book 7
Do you wear goth fashion?,UNIT 2,Book 7
Is goth style trendy?,UNIT 2,Book 7
What is your opinion on goth fashion?,UNIT 2,Book 7
nan,UNIT 2,Book 7
What fashion is it?,UNIT 2,Book 7
Do you like Japanese street fashion?,UNIT 2,Book 7
Do you wear Japanese street fashion?,UNIT 2,Book 7
Is Japanese street fashion trendy?,UNIT 2,Book 7
What is your opinion on Japanese street fashion?,UNIT 2,Book 7
Do kids in your school wear Japanese street fashion?,UNIT 2,Book 7
Would you wear this Japanese street fashion?,UNIT 2,Book 7
nan,UNIT 2,Book 7
What fashion is it?,UNIT 2,Book 7
Do you like biker fashion?,UNIT 2,Book 7
Is biker fashion trendy?,UNIT 2,Book 7
What is your opinion on biker fashion?,UNIT 2,Book 7
nan,UNIT 2,Book 7
What fashion is it?,UNIT 2,Book 7
Do you like smart elegant fashion?,UNIT 2,Book 7
Do you wear smart elegant fashion?,UNIT 2,Book 7
What is your opinion on smart elegant fashion?,UNIT 2,Book 7
nan,UNIT 2,Book 7
What fashion is it?,UNIT 2,Book 7
Do you like retro fashion?,UNIT 2,Book 7
Do you wear retro fashion?,UNIT 2,Book 7
Is retro fashion trendy?,UNIT 2,Book 7
What is your opinion on retro fashion?,UNIT 2,Book 7
nan,UNIT 2,Book 7
nan,UNIT 2,Book 7
nan,UNIT 2,Book 7
nan,UNIT 2,Book 7
nan,UNIT 3,Book 7
nan,UNIT 3,Book 7
Is there a lot of crime near where you live?,UNIT 3,Book 7
Is it a crime to fight with your brother or sister?,UNIT 3,Book 7
Is it a crime to litter?,UNIT 3,Book 7
Is it a crime to burn a house?,UNIT 3,Book 7
Is it a crime to take fruit from your neighbor's garden?,UNIT 3,Book 7
Is it a crime to break your friend's pencil?,UNIT 3,Book 7
nan,UNIT 3,Book 7
What is it?,UNIT 3,Book 7
Where are the people?,UNIT 3,Book 7
Would you like to visit a prison?,UNIT 3,Book 7
Would you like to visit a prison in El Salvador?,UNIT 3,Book 7
Would you like to visit a prison in Japan?,UNIT 3,Book 7
Would you like to visit a prison in Norway?,UNIT 3,Book 7
nan,UNIT 3,Book 7
Have you ever seen anybody arrested?,UNIT 3,Book 7
nan,UNIT 3,Book 7
nan,UNIT 3,Book 7
Would you like to be a police officer?,UNIT 3,Book 7
Is it safe or dangerous to be a police officer?,UNIT 3,Book 7
nan,UNIT 3,Book 7
Would you like to be a lawyer?,UNIT 3,Book 7
Would you like to be a judge?,UNIT 3,Book 7
nan,UNIT 3,Book 7
Would you like to be a detective?,UNIT 3,Book 7
nan,UNIT 3,Book 7
Do you watch crime TV programs?,UNIT 3,Book 7
Do you like to watch crime TV shows?,UNIT 3,Book 7
nan,UNIT 3,Book 7
Do you like to read crime books?,UNIT 3,Book 7
Do you like to read crime books?,UNIT 3,Book 7
nan,UNIT 3,Book 7
Do you listen to crime podcasts?,UNIT 3,Book 7
Do you like to listen to crime podcasts?,UNIT 3,Book 7
nan,UNIT 3,Book 7
Who is she?,UNIT 3,Book 7
Where does the prisoner live?,UNIT 3,Book 7
nan,UNIT 3,Book 7
Who are they?,UNIT 3,Book 7
What do prison guards do?,UNIT 3,Book 7
nan,UNIT 3,Book 7
Who is he?,UNIT 3,Book 7
Who was Sherlock Holmes?,UNIT 3,Book 7
What do detectives do?,UNIT 3,Book 7
nan,UNIT 3,Book 7
Who is he?,UNIT 3,Book 7
What do guards do?,UNIT 3,Book 7
Who do these guards guard?,UNIT 3,Book 7
nan,UNIT 3,Book 7
Who is he?,UNIT 3,Book 7
What do police officers do?,UNIT 3,Book 7
nan,UNIT 3,Book 7
Who is he?,UNIT 3,Book 7
What do criminals do?,UNIT 3,Book 7
nan,UNIT 3,Book 7
Who is she?,UNIT 3,Book 7
What do judges do?,UNIT 3,Book 7
nan,UNIT 3,Book 7
Who is she?,UNIT 3,Book 7
What do lawyers do?,UNIT 3,Book 7
nan,UNIT 3,Book 7
Who is he?,UNIT 3,Book 7
What crime is he committing?,UNIT 3,Book 7
When do you see burglars?,UNIT 3,Book 7
nan,UNIT 3,Book 7
What is the burglar doing?,UNIT 3,Book 7
What is the burglar doing?,UNIT 3,Book 7
Who is he?,UNIT 3,Book 7
Where do you see robbers?,UNIT 3,Book 7
nan,UNIT 3,Book 7
What crime are they committing?,UNIT 3,Book 7
What is the robber doing?,UNIT 3,Book 7
What are the robbers doing?,UNIT 3,Book 7
Who is he?,UNIT 3,Book 7
What crime is he committing?,UNIT 3,Book 7
What is the pickpocket doing?,UNIT 3,Book 7
nan,UNIT 3,Book 7
What is the pickpocket doing?,UNIT 3,Book 7
What is the pickpocket doing?,UNIT 3,Book 7
Who is he?,UNIT 3,Book 7
What crime is he committing?,UNIT 3,Book 7
What is the shoplifter doing?,UNIT 3,Book 7
nan,UNIT 3,Book 7
What is the shoplifter doing?,UNIT 3,Book 7
How many things is she shoplifting?,UNIT 3,Book 7
Who is he?,UNIT 3,Book 7
What crime is he committing?,UNIT 3,Book 7
What is the carjacker doing?,UNIT 3,Book 7
nan,UNIT 3,Book 7
Who is he carjacking?,UNIT 3,Book 7
Who are they?,UNIT 3,Book 7
What crime are they committing?,UNIT 3,Book 7
What are the looters doing?,UNIT 3,Book 7
nan,UNIT 3,Book 7
What are the looters doing?,UNIT 3,Book 7
What is the looter looting?,UNIT 3,Book 7
Who is he?,UNIT 3,Book 7
What has just happened?,UNIT 3,Book 7
What crime are they committing?,UNIT 3,Book 7
nan,UNIT 3,Book 7
Who has been kidnapped?,UNIT 3,Book 7
Who has been kidnapped?,UNIT 3,Book 7
What is the cat doing?,UNIT 3,Book 7
Who is he?,UNIT 3,Book 7
What crime is he committing?,UNIT 3,Book 7
What is the man doing?,UNIT 3,Book 7
nan,UNIT 3,Book 7
What is mugging?,UNIT 3,Book 7
Who is the mugger mugging?,UNIT 3,Book 7
Who is he?,UNIT 3,Book 7
What crime is he committing?,UNIT 3,Book 7
What is the arsonist burning?,UNIT 3,Book 7
nan,UNIT 3,Book 7
What is the arsonist burning?,UNIT 3,Book 7
What is the arsonist burning?,UNIT 3,Book 7
Who is he?,UNIT 3,Book 7
What crime is he committing?,UNIT 3,Book 7
What is he dealing?,UNIT 3,Book 7
nan,UNIT 3,Book 7
Where is the drug dealer dealing drugs?,UNIT 3,Book 7
Who is dealing drugs?,UNIT 3,Book 7
Who is he?,UNIT 3,Book 7
What crime is he committing?,UNIT 3,Book 7
What do hackers hack?,UNIT 3,Book 7
nan,UNIT 3,Book 7
What is he hacking?,UNIT 3,Book 7
What is he hacking?,UNIT 3,Book 7
Who are they?,UNIT 3,Book 7
What crime are they committing?,UNIT 3,Book 7
nan,UNIT 3,Book 7
What are they smuggling?,UNIT 3,Book 7
What are they smuggling?,UNIT 3,Book 7
What are they smuggling?,UNIT 3,Book 7
What are they smuggling?,UNIT 3,Book 7
What are they smuggling?,UNIT 3,Book 7
Who is he?,UNIT 3,Book 7
What crime is he committing?,UNIT 3,Book 7
What are they forging?,UNIT 3,Book 7
nan,UNIT 3,Book 7
What are they forging?,UNIT 3,Book 7
Which is real and which is a forgery?,UNIT 3,Book 7
Who is he?,UNIT 3,Book 7
What crime is he committing?,UNIT 3,Book 7
What are they hijacking?,UNIT 3,Book 7
nan,UNIT 3,Book 7
What are the hijackers doing?,UNIT 3,Book 7
What are the hijackers doing?,UNIT 3,Book 7
Who is he?,UNIT 3,Book 7
What crime is he committing?,UNIT 3,Book 7
When do you see terrorists?,UNIT 3,Book 7
When do you see terrorists?,UNIT 3,Book 7
What do the terrorists have?,UNIT 3,Book 7
What does the terrorist have?,UNIT 3,Book 7
nan,UNIT 3,Book 7
Who are they?,UNIT 3,Book 7
What crime is he committing?,UNIT 3,Book 7
"Is he vandalizing, or is it art?",UNIT 3,Book 7
nan,UNIT 3,Book 7
Is it good or bad vandalism?,UNIT 3,Book 7
Is it good or bad vandalism?,UNIT 3,Book 7
Is it good or bad vandalism?,UNIT 3,Book 7
Is it good or bad vandalism?,UNIT 3,Book 7
What are the vandals doing?,UNIT 3,Book 7
Is it good or bad vandalism?,UNIT 3,Book 7
Who are they?,UNIT 3,Book 7
nan,UNIT 3,Book 7
nan,UNIT 3,Book 7
nan,UNIT 3,Book 7
nan,UNIT 3,Book 7
nan,UNIT 3,Book 7
nan,UNIT 3,Book 7
nan,UNIT 4,Book 7
nan,UNIT 4,Book 7
nan,UNIT 4,Book 7
nan,UNIT 4,Book 7
What vacation is it?,UNIT 4,Book 7
Do I think city vacations are interesting or boring?,UNIT 4,Book 7
Do you go on city vacations?,UNIT 4,Book 7
Where would you like to go on a city vacation?,UNIT 4,Book 7
What city vacation have you been to?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What vacation is it?,UNIT 4,Book 7
Do I think camping vacations are interesting or boring?,UNIT 4,Book 7
Do you prefer camping vacations with family or friends?,UNIT 4,Book 7
Do you go on camping vacations?,UNIT 4,Book 7
Would you like to go on a camping vacation?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What vacation is it?,UNIT 4,Book 7
Do I think hiking vacations are interesting or boring?,UNIT 4,Book 7
Do you go on hiking vacations?,UNIT 4,Book 7
Where do people go on hiking vacations?,UNIT 4,Book 7
Would you like to go on a hiking vacation?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What vacation is it?,UNIT 4,Book 7
